2087,8072,33480,00:00.0,00:00.0,"BAYER, INC.    ",Query_Manufacturer.csv
1179,2748,208965,00:00.0,00:00.0,WYETH LTD      ,Query_Manufacturer.csv
1620,3782,603813,00:00.0,NULL,B-M SQUIBB     ,Query_Manufacturer.csv
3893,8766,607886,00:00.0,NULL,B-M SQUIBB     ,Query_Manufacturer.csv
765,31765,632678,00:00.0,00:00.0,NORDISK GENTOFT,Query_Manufacturer.csv
166,517,677469,00:00.0,00:00.0,PHARMASCIENCE  ,Query_Manufacturer.csv
1234,2837,730965,00:00.0,00:00.0,UPJOHN CONSUMER,Query_Manufacturer.csv
1404,3161,850675,00:00.0,00:00.0,SEAFORD PHARMAC,Query_Manufacturer.csv
70,16068,872342,00:00.0,NULL,ALTIMED PHARM  ,Query_Manufacturer.csv
4137,7361,874043,00:00.0,NULL,PRESTIGE PHARMA,Query_Manufacturer.csv
4137,6999,874051,00:00.0,NULL,PRESTIGE PHARMA,Query_Manufacturer.csv
4137,13245,874078,00:00.0,NULL,PRESTIGE PHARMA,Query_Manufacturer.csv
3641,8166,875252,00:00.0,00:00.0,PHARMASCIENCE  ,Query_Manufacturer.csv
2073,15210,878715,00:00.0,NULL,ALTIMED PHARM  ,Query_Manufacturer.csv
1312,2982,882518,00:00.0,00:00.0,DRUG TRADING CO,Query_Manufacturer.csv
3893,58379,888370,00:00.0,NULL,B-M SQUIBB     ,Query_Manufacturer.csv
4522,11680,1147052,00:00.0,NULL,NU-PHARM INC   ,Query_Manufacturer.csv
7227,17270,1909959,00:00.0,NULL,HOFFMANN-LA ROC,Query_Manufacturer.csv
4053,9362,1911554,00:00.0,00:00.0,BURROUGHS WELL ,Query_Manufacturer.csv
4053,9361,1911562,00:00.0,00:00.0,BURROUGHS WELL ,Query_Manufacturer.csv
4053,9363,1911570,00:00.0,00:00.0,BURROUGHS WELL ,Query_Manufacturer.csv
3346,7668,1912941,00:00.0,00:00.0,STERLING-WINTH ,Query_Manufacturer.csv
3736,18455,1913077,00:00.0,00:00.0,RPR CANADA INC ,Query_Manufacturer.csv
